1	2	3	4	5
1607	9831174.089	9208122.275	10454225.9	0
1606	9821318.022	9198266.209	10444369.84	0
1605	9808737.378	9185685.564	10431789.19	0
1604	9793623.01	9170571.196	10416674.82	0
1603	9776217.78	9153165.967	10399269.59	0
1602	9756810.823	9133759.01	10379862.64	0
1601	9735730.907	9112679.094	10358782.72	0
1600	9713339.042	9090287.228	10336390.86	0
1599	9690020.508	9066968.695	10313072.32	0
1598	9666176.494	9043124.68	10289228.31	0
1597	9642215.514	9019163.701	10265267.33	0
1596	9618544.825	8995493.011	10241596.64	0
1595	9595562.008	8972510.195	10218613.82	0
1594	9573646.925	8950595.111	10196698.74	0
1593	9553154.207	8930102.393	10176206.02	0
1592	9534406.451	8911354.638	10157458.26	0
1591	9517688.264	8894636.451	10140740.08	0
1590	9503241.273	8880189.459	10126293.09	0
1589	9491260.213	8868208.4	10114312.03	0
1588	9481890.162	8858838.349	10104941.98	0
1587	9475224.959	8852173.145	10098276.77	0
1586	9471306.841	8848255.027	10094358.65	0
1585	9470127.276	8847075.463	10093179.09	0
1584	9471628.955	8848577.142	10094680.77	0
1583	9475708.878	8852657.065	10098760.69	0
1582	9482222.438	8859170.625	10105274.25	0
1581	9490988.393	8711590.069	10270386.72	0
1580	9501794.581	8722396.258	10281192.9	0
1579	9514404.239	8735005.916	10293802.56	0
1578	9528562.741	8749164.418	10307961.06	0
1577	9544004.595	8764606.272	10323402.92	0
1576	9560460.513	8781062.19	10339858.84	0
1575	9577664.374	8798266.051	10357062.7	0
1574	9595359.901	8815961.578	10374758.22	0
1573	9613306.898	8833908.574	10392705.22	0
1572	9631286.866	8851888.542	10410685.19	0
1571	9649107.893	8869709.57	10428506.22	0
1570	9666608.676	8887210.352	10446007	0
1569	9683661.582	8836044.122	10531279.04	0
1568	9700174.696	8852557.236	10547792.16	0
1567	9716092.794	8868475.334	10563710.25	0
1566	9731397.236	8883779.776	10579014.7	0
1565	9746104.794	8898487.335	10593722.25	0
1564	9760265.452	8912647.992	10607882.91	0
1563	9773959.253	8926341.793	10621576.71	0
1562	9787292.285	8939674.825	10634909.74	0
1561	9800391.928	8952774.469	10648009.39	0
1560	9813401.491	8965784.032	10661018.95	0
1559	9826474.401	8978856.941	10674091.86	0
1558	9839768.104	8992150.644	10687385.56	0
1557	9853437.865	9005820.406	10701055.33	0
1556	9867630.625	9020013.166	10715248.09	0
1555	9882479.106	9034861.647	10730096.57	0
1554	9898096.333	9050478.873	10745713.79	0
1553	9914570.728	9066953.268	10762188.19	0
1552	9931961.926	9084344.466	10779579.39	0
1551	9950297.438	9102679.978	10797914.9	0
1550	9969570.267	9121952.807	10817187.73	0
1549	9989737.552	9142120.093	10837355.01	0
1548	10010720.3	9163102.841	10858337.76	0
1547	10032404.22	9184786.759	10880021.68	0
1546	10054641.65	9207024.187	10902259.11	0
1545	10077254.55	9229637.092	10924872.01	0
1544	10100038.51	9231107.767	10968969.26	0
1543	10122767.6	9253836.853	10991698.34	0
1542	10145200.03	9276269.288	11014130.78	0
1541	10167084.48	9298153.735	11036015.22	0
1540	10188166.8	9319236.058	11057097.55	0
1539	10208197.1	9339266.358	11077127.85	0
1538	10226936.87	9358006.124	11095867.61	0
1537	10244166.02	9375235.272	11113096.76	0
1536	10259689.64	9390758.894	11128620.38	0
1535	10273344.27	9404413.522	11142275.01	0
1534	10285003.46	9416072.717	11153934.21	0
1533	10294582.56	9425651.821	11163513.31	0
1532	10302042.47	9433111.724	11170973.21	0
1531	10307392.26	9438461.513	11176323	0
